User;Qid;Tries;LastTry;Q1R;Q1C;Q2R;Q2C;Q3R;Q3C;Q4R;Q4C;Q5R;Q5C;Q6R;Q6C;Q7R;Q7C;Q8R;Q8C;Q9R;Q9C;Q10R;Q10C
a02e260baf51589e5eef0a7d2e04f93c72a57bd8b3d76e03782aceba60c79201089f4cc12183c8c486de0e835248c85ea9fccf637a2d571d18cceaec5bd437f6;9e7cbb8287c14a67a4d8e9a06c163d52;1;2022-04-04T09:33:45Z;choice_F-P1-test-conocimientos-previos;correct;choice_V-P2-test-conocimientos-previos;correct;choice_F-P3-test-conocimientos-previos;correct;choice_V-P4-test-conocimientos-previos;incorrect;choice_V-P5-test-conocimientos-previos;correct;choice_V-P6-test-conocimientos-previos;incorrect;choice_V-P7-test-conocimientos-previos;incorrect;choice_V-P8-test-conocimientos-previos;incorrect;choice_F-P9-test-conocimientos-previos;incorrect;choice_F-P10-test-conocimientos-previos;incorrect
6cf2807da414d7d5385b4195bdaf7e8f395862ffd3cddc8a9b7f9d6b2468ed9e3cb7699f087cf6f0ebbf6bc51909c8c9c90dd7f7533a124a4a7a043daee54a19;9e7cbb8287c14a67a4d8e9a06c163d52;1;2022-04-04T09:16:05Z;choice_F-P1-test-conocimientos-previos;correct;choice_V-P2-test-conocimientos-previos;correct;choice_F-P3-test-conocimientos-previos;correct;choice_F-P4-test-conocimientos-previos;correct;choice_V-P5-test-conocimientos-previos;correct;choice_F-P6-test-conocimientos-previos;correct;choice_F-P7-test-conocimientos-previos;correct;choice_F-P8-test-conocimientos-previos;correct;choice_F-P9-test-conocimientos-previos;incorrect;choice_F-P10-test-conocimientos-previos;incorrect
4424f812e70537a8c789ec89395d9971c073d47f6dd7e7515c8d30b5e31f3f13385c36bcceb751c5c8f6de899101b8c4eb9f0226c6e97450519c8c31fbc14827;9e7cbb8287c14a67a4d8e9a06c163d52;1;2022-04-04T09:25:27Z;choice_F-P1-test-conocimientos-previos;correct;choice_V-P2-test-conocimientos-previos;correct;choice_F-P3-test-conocimientos-previos;correct;choice_V-P4-test-conocimientos-previos;incorrect;choice_V-P5-test-conocimientos-previos;correct;choice_V-P6-test-conocimientos-previos;incorrect;choice_F-P7-test-conocimientos-previos;correct;choice_V-P8-test-conocimientos-previos;incorrect;choice_F-P9-test-conocimientos-previos;incorrect;choice_F-P10-test-conocimientos-previos;incorrect
275b3ca9617c6908d23c79d0c764d275397b8399e6d5ebde5a14aa4018e0d347d024343b4d8304f3f500a6cf765943fc8e255eafa816679a5837fa3a909e0923;9e7cbb8287c14a67a4d8e9a06c163d52;1;2022-04-06T05:58:56Z;choice_F-P1-test-conocimientos-previos;correct;choice_V-P2-test-conocimientos-previos;correct;choice_F-P3-test-conocimientos-previos;correct;choice_F-P4-test-conocimientos-previos;correct;choice_V-P5-test-conocimientos-previos;correct;choice_F-P6-test-conocimientos-previos;correct;choice_F-P7-test-conocimientos-previos;correct;choice_F-P8-test-conocimientos-previos;correct;choice_V-P9-test-conocimientos-previos;correct;choice_V-P10-test-conocimientos-previos;correct
00c0f742acb4e035dbbb91e3b04c5d1f6a8e73ef1b5ff8255190aec193e105aab9cc25773d1e7b8fae05076c5f100ad80e0a2fa8aeeaede596c623ad0d7be19d;9e7cbb8287c14a67a4d8e9a06c163d52;1;2022-04-04T10:08:16Z;choice_F-P1-test-conocimientos-previos;correct;choice_V-P2-test-conocimientos-previos;correct;choice_V-P3-test-conocimientos-previos;incorrect;choice_V-P4-test-conocimientos-previos;incorrect;choice_V-P5-test-conocimientos-previos;correct;choice_F-P6-test-conocimientos-previos;correct;choice_F-P7-test-conocimientos-previos;correct;choice_F-P8-test-conocimientos-previos;correct;choice_V-P9-test-conocimientos-previos;correct;choice_F-P10-test-conocimientos-previos;incorrect
e65966086e77a0ead79c8edaee706b74846cbf12a85e5e050b858b2b7d4a71353534f8c99c2444ad755ecc149843d9bae39cbe3cf10a501c2efbaf8b336038fc;9e7cbb8287c14a67a4d8e9a06c163d52;1;2022-04-25T19:18:23Z;choice_F-P1-test-conocimientos-previos;correct;choice_V-P2-test-conocimientos-previos;correct;choice_F-P3-test-conocimientos-previos;correct;choice_F-P4-test-conocimientos-previos;correct;choice_V-P5-test-conocimientos-previos;correct;choice_F-P6-test-conocimientos-previos;correct;choice_F-P7-test-conocimientos-previos;correct;choice_F-P8-test-conocimientos-previos;correct;choice_V-P9-test-conocimientos-previos;correct;choice_F-P10-test-conocimientos-previos;incorrect
aab72fd435e335b83b00457071bc73be4f5bf1c40dae46e0c8c5dbf38794511e17c4f450967d61fd0ddaa9590613dd45f88edab33879dbbfed2fded1e557f5f7;9e7cbb8287c14a67a4d8e9a06c163d52;1;2022-04-04T10:34:18Z;choice_F-P1-test-conocimientos-previos;correct;choice_V-P2-test-conocimientos-previos;correct;choice_V-P3-test-conocimientos-previos;incorrect;choice_V-P4-test-conocimientos-previos;incorrect;choice_V-P5-test-conocimientos-previos;correct;choice_F-P6-test-conocimientos-previos;correct;choice_F-P7-test-conocimientos-previos;correct;choice_V-P8-test-conocimientos-previos;incorrect;choice_V-P9-test-conocimientos-previos;correct;choice_V-P10-test-conocimientos-previos;correct
c9b4fa727abf6de27cbf28dcb2aee63e27912fffb20ac77786f9ebfe4cdff168abd0c1f2e8086340f3d98431af2e49f599290baada52459f829f19675adfc3ca;9e7cbb8287c14a67a4d8e9a06c163d52;1;2022-04-04T10:48:51Z;choice_F-P1-test-conocimientos-previos;correct;choice_V-P2-test-conocimientos-previos;correct;choice_F-P3-test-conocimientos-previos;correct;choice_F-P4-test-conocimientos-previos;correct;choice_V-P5-test-conocimientos-previos;correct;choice_F-P6-test-conocimientos-previos;correct;choice_F-P7-test-conocimientos-previos;correct;choice_F-P8-test-conocimientos-previos;correct;choice_V-P9-test-conocimientos-previos;correct;choice_V-P10-test-conocimientos-previos;correct
3e9e23c2546de3eb0e9c051f93451c343b7d304edebcef307a9d9a4ca45d26816322e9002fdc821227138ce1337016baaa0b4e0c8856f0f8f6066cc10a31405f;9e7cbb8287c14a67a4d8e9a06c163d52;0; ;choice_F-P1-test-conocimientos-previos; ;choice_V-P2-test-conocimientos-previos; ;choice_V-P3-test-conocimientos-previos; ;choice_V-P4-test-conocimientos-previos; ;choice_V-P5-test-conocimientos-previos; ;choice_F-P6-test-conocimientos-previos; ;choice_F-P7-test-conocimientos-previos; ;choice_F-P8-test-conocimientos-previos; ;choice_V-P9-test-conocimientos-previos; ;choice_V-P10-test-conocimientos-previos; 
c3a04a562333d9124b8e42e690ff5e0ec642724c39b7819452f94a752075ab2a32b6eddef618c1e6b1afcbd3e8ac263b91b85492a7c792e0ec6c52ab1a5e866b;9e7cbb8287c14a67a4d8e9a06c163d52;1;2022-04-04T11:37:08Z;choice_F-P1-test-conocimientos-previos;correct;choice_V-P2-test-conocimientos-previos;correct;choice_F-P3-test-conocimientos-previos;correct;choice_F-P4-test-conocimientos-previos;correct;choice_V-P5-test-conocimientos-previos;correct;choice_F-P6-test-conocimientos-previos;correct;choice_V-P7-test-conocimientos-previos;incorrect;choice_F-P8-test-conocimientos-previos;correct;choice_F-P9-test-conocimientos-previos;incorrect;choice_F-P10-test-conocimientos-previos;incorrect
